Serv Acct Num,Billing Month Year,Bill Amt,Kwh Usage,Cost per Kwh
38125412,Feb 2020,1300.16,20191,0.06439304640681492
38125412,Mar 2020,1063.98,20510,0.05187615797172111
38125412,Apr 2020,1180.8,16440,0.07182481751824817
38125412,May 2020,1056.35,15193,0.06952873033633909
38125412,Jun 2020,2002.76,19182,0.1044082994473986
38333033,Jul 2019,60.83,559,0.10881932021466904
38333033,Aug 2019,62.25,586,0.10622866894197952
38333033,Sep 2019,59.02,587,0.10054514480408859
38333033,Oct 2019,60.63,606,0.10004950495049506
38333033,Nov 2019,73.48,739,0.09943166441136672
38333033,Dec 2019,73.51,718,0.1023816155988858
38333033,Jan 2020,59.25,547,0.10831809872029251
38333033,Feb 2020,54.4,484,0.11239669421487603
38333033,Mar 2020,54.74,483,0.11333333333333334
38333033,Apr 2020,45.01,401,0.11224438902743142
38333033,May 2020,53.21,426,0.12490610328638498
38333033,Jun 2020,50.08,378,0.13248677248677249
