Billing Year Month,Bill Amt,Kwh Usage,Cost per Kwh
2019-07,122081.09000000001,677691,0.18014270515618477
2019-08,131900.34,738472,0.17861251340606007
2019-09,125209.01999999999,751326,0.16665072152434496
2019-10,120286.17000000001,665698,0.1806918001856698
2019-11,68849.94,608574,0.11313322619763579
2019-12,69915.74999999999,657057,0.10640743497139515
2020-01,62672.54,568084,0.11032266354975673
2020-02,65467.43,611579,0.10704656307688785
2020-03,61114.12000000001,548041,0.1115137736045296
2020-04,52075.420000000006,427481,0.12181926214264495
2020-05,44979.48,340708,0.13201768082933188
2020-06,57655.66,409602,0.14076020136620426
